Kanton,Kanton_d,Kanton_f,Kanton_Short,spez
Aargau,Aargau,Argovie,AG,d'
Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rhodes-Extérieures,AR,d'
Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rhodes-Intérieures,AI,d'
Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,BL,
Basel-Stadt,Basel-Stadt,Bâle-Ville,BS,
Bern / Berne,Bern,Berne,BE,
Fribourg / Freiburg,Freiburg,Fribourg,FR,
Genève,Genf,Genève,GE,
Glarus,Glarus,Glaris,GL,
Graubünden / Grigioni / Grischun,Graubünden,Grisons,GR,le canton des Grisons
Jura,Jura,Jura,JU,
Luzern,Luzern,Lucerne,LU,
Neuchâtel,Neuenburg,Neuchâtel,NE,
Nidwalden,Nidwalden,Nidwald,NW,
Obwalden,Obwalden,Obwald,OW,d'
Schaffhausen,Schaffhausen,Schaffhouse,SH,
Schwyz,Schwyz,Schwyz,SZ,
Solothurn,Solothurn,Soleure,SO,
St. Gallen,St. Gallen,Saint-Gall,SG,
Thurgau,Thurgau,Thurgovie,TG,
Ticino,Tessin,Tessin,TI,
Uri,Uri,Uri,UR,d'
Valais / Wallis,Wallis,Valais,VS,
Vaud,Waadt,Vaud,VD,
Zug,Zug,Zoug,ZG,
Zürich,Zürich,Zurich,ZH,
