Kanton,Kanton_d,Kanton_f,Kanton_Short,spez,Kantons_Nummer
Aargau,Aargau,Argovie,AG,d',19
Appenzell Ausserrhoden,Appenzell Ausserrhoden,Appenzell Rhodes-Extérieures,AR,d',15
Appenzell Innerrhoden,Appenzell Innerrhoden,Appenzell Rhodes-Intérieures,AI,d',16
Basel-Landschaft,Basel-Landschaft,Bâle-Campagne,BL,NA,13
Basel-Stadt,Basel-Stadt,Bâle-Ville,BS,NA,12
Bern / Berne,Bern,Berne,BE,NA,2
Fribourg / Freiburg,Freiburg,Fribourg,FR,NA,10
Genève,Genf,Genève,GE,NA,25
Glarus,Glarus,Glaris,GL,NA,8
Graubünden / Grigioni / Grischun,Graubünden,Grisons,GR,le canton des Grisons,18
Jura,Jura,Jura,JU,NA,26
Luzern,Luzern,Lucerne,LU,NA,3
Neuchâtel,Neuenburg,Neuchâtel,NE,NA,24
Nidwalden,Nidwalden,Nidwald,NW,NA,7
Obwalden,Obwalden,Obwald,OW,d',6
Schaffhausen,Schaffhausen,Schaffhouse,SH,NA,14
Schwyz,Schwyz,Schwyz,SZ,NA,5
Solothurn,Solothurn,Soleure,SO,NA,11
St. Gallen,St. Gallen,Saint-Gall,SG,NA,17
Thurgau,Thurgau,Thurgovie,TG,NA,20
Ticino,Tessin,Tessin,TI,NA,21
Uri,Uri,Uri,UR,d',4
Valais / Wallis,Wallis,Valais,VS,NA,23
Vaud,Waadt,Vaud,VD,NA,22
Zug,Zug,Zoug,ZG,NA,9
Zürich,Zürich,Zurich,ZH,NA,1
